exchange,cal_date,is_open,pretrade_date
SSE,20170319,0,20170317
SSE,20170320,1,20170317
SSE,20170321,1,20170320
SSE,20170322,1,20170321
SSE,20170323,1,20170322
SSE,20170324,1,20170323
SSE,20170325,0,20170324
SSE,20170326,0,20170324
SSE,20170327,1,20170324
SSE,20170328,1,20170327
SSE,20170329,1,20170328
SSE,20170330,1,20170329
SSE,20170331,1,20170330
SSE,20170401,0,20170331
SSE,20170402,0,20170331
SSE,20170403,0,20170331
SSE,20170404,0,20170331
SSE,20170405,1,20170331
SSE,20170406,1,20170405
SSE,20170407,1,20170406
SSE,20170408,0,20170407
SSE,20170409,0,20170407
SSE,20170410,1,20170407
SSE,20170411,1,20170410
SSE,20170412,1,20170411
SSE,20170413,1,20170412
SSE,20170414,1,20170413
SSE,20170415,0,20170414
SSE,20170416,0,20170414
SSE,20170417,1,20170414
SSE,20170418,1,20170417
SSE,20170419,1,20170418
SSE,20170420,1,20170419
SSE,20170421,1,20170420
SSE,20170422,0,20170421
SSE,20170423,0,20170421
SSE,20170424,1,20170421
SSE,20170425,1,20170424
SSE,20170426,1,20170425
SSE,20170427,1,20170426
SSE,20170428,1,20170427
SSE,20170429,0,20170428
SSE,20170430,0,20170428
SSE,20170501,0,20170428
SSE,20170502,1,20170428
SSE,20170503,1,20170502
SSE,20170504,1,20170503
SSE,20170505,1,20170504
SSE,20170506,0,20170505
SSE,20170507,0,20170505
SSE,20170508,1,20170505
SSE,20170509,1,20170508
SSE,20170510,1,20170509
SSE,20170511,1,20170510
SSE,20170512,1,20170511
SSE,20170513,0,20170512
SSE,20170514,0,20170512
SSE,20170515,1,20170512
SSE,20170516,1,20170515
SSE,20170517,1,20170516
SSE,20170518,1,20170517
SSE,20170519,1,20170518
SSE,20170520,0,20170519
SSE,20170521,0,20170519
SSE,20170522,1,20170519
SSE,20170523,1,20170522
SSE,20170524,1,20170523
SSE,20170525,1,20170524
SSE,20170526,1,20170525
SSE,20170527,0,20170526
SSE,20170528,0,20170526
SSE,20170529,0,20170526
SSE,20170530,0,20170526
SSE,20170531,1,20170526
SSE,20170601,1,20170531
SSE,20170602,1,20170601
SSE,20170603,0,20170602
SSE,20170604,0,20170602
SSE,20170605,1,20170602
SSE,20170606,1,20170605
SSE,20170607,1,20170606
SSE,20170608,1,20170607
SSE,20170609,1,20170608
SSE,20170610,0,20170609
SSE,20170611,0,20170609
SSE,20170612,1,20170609
SSE,20170613,1,20170612
SSE,20170614,1,20170613
SSE,20170615,1,20170614
SSE,20170616,1,20170615
SSE,20170617,0,20170616
SSE,20170618,0,20170616
SSE,20170619,1,20170616
SSE,20170620,1,20170619
SSE,20170621,1,20170620
SSE,20170622,1,20170621
SSE,20170623,1,20170622
SSE,20170624,0,20170623
SSE,20170625,0,20170623
SSE,20170626,1,20170623
SSE,20170627,1,20170626
SSE,20170628,1,20170627
SSE,20170629,1,20170628
SSE,20170630,1,20170629
SSE,20170701,0,20170630
SSE,20170702,0,20170630
SSE,20170703,1,20170630
SSE,20170704,1,20170703
SSE,20170705,1,20170704
SSE,20170706,1,20170705
SSE,20170707,1,20170706
SSE,20170708,0,20170707
SSE,20170709,0,20170707
SSE,20170710,1,20170707
SSE,20170711,1,20170710
SSE,20170712,1,20170711
SSE,20170713,1,20170712
SSE,20170714,1,20170713
SSE,20170715,0,20170714
SSE,20170716,0,20170714
SSE,20170717,1,20170714
SSE,20170718,1,20170717
SSE,20170719,1,20170718
SSE,20170720,1,20170719
SSE,20170721,1,20170720
SSE,20170722,0,20170721
SSE,20170723,0,20170721
SSE,20170724,1,20170721
SSE,20170725,1,20170724
SSE,20170726,1,20170725
SSE,20170727,1,20170726
SSE,20170728,1,20170727
SSE,20170729,0,20170728
SSE,20170730,0,20170728
SSE,20170731,1,20170728
SSE,20170801,1,20170731
SSE,20170802,1,20170801
SSE,20170803,1,20170802
SSE,20170804,1,20170803
SSE,20170805,0,20170804
SSE,20170806,0,20170804
SSE,20170807,1,20170804
SSE,20170808,1,20170807
SSE,20170809,1,20170808
SSE,20170810,1,20170809
SSE,20170811,1,20170810
SSE,20170812,0,20170811
SSE,20170813,0,20170811
SSE,20170814,1,20170811
SSE,20170815,1,20170814
SSE,20170816,1,20170815
SSE,20170817,1,20170816
SSE,20170818,1,20170817
SSE,20170819,0,20170818
SSE,20170820,0,20170818
SSE,20170821,1,20170818
SSE,20170822,1,20170821
SSE,20170823,1,20170822
SSE,20170824,1,20170823
SSE,20170825,1,20170824
SSE,20170826,0,20170825
SSE,20170827,0,20170825
SSE,20170828,1,20170825
SSE,20170829,1,20170828
SSE,20170830,1,20170829
SSE,20170831,1,20170830
SSE,20170901,1,20170831
SSE,20170902,0,20170901
SSE,20170903,0,20170901
SSE,20170904,1,20170901
SSE,20170905,1,20170904
SSE,20170906,1,20170905
SSE,20170907,1,20170906
SSE,20170908,1,20170907
SSE,20170909,0,20170908
SSE,20170910,0,20170908
SSE,20170911,1,20170908
SSE,20170912,1,20170911
SSE,20170913,1,20170912
SSE,20170914,1,20170913
SSE,20170915,1,20170914
SSE,20170916,0,20170915
SSE,20170917,0,20170915
SSE,20170918,1,20170915
